epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77059,1.71144,3.49039,1.64375,0.00734,1,0.27707,0.06086,1.00569,3.23644,0.70895,0.00022,0.00022,0.00022
2,13.3328,0.79629,2.65921,1.05386,0.00732,1,0.03411,0.03092,0.44307,2.88724,0.16346,0.000441784,0.000441784,0.000441784
3,19.3063,0.64781,1.38474,0.91095,0.00717,1,0.995,0.79997,0.54668,2.17131,0.23896,0.00064456,0.00064456,0.00064456
4,25.31,0.59236,1.06151,0.87758,0.99808,1,0.995,0.89168,0.62296,1.87141,0.28027,0.000828328,0.000828328,0.000828328
5,31.5886,0.56511,0.87431,0.85778,1,0.64622,0.995,0.89177,0.47819,1.9284,0.20677,0.000993088,0.000993088,0.000993088
6,38.2536,0.59682,0.90991,0.85955,0.992,1,0.995,0.98173,0.39898,1.1259,0.17378,0.00113884,0.00113884,0.00113884
7,44.977,0.53374,0.77275,0.83055,0.992,1,0.995,0.98173,0.39898,1.1259,0.17378,0.00126558,0.00126558,0.00126558
8,51.6777,0.51897,0.73866,0.8527,0.99868,1,0.995,0.995,0.19114,0.50384,0.10685,0.00137332,0.00137332,0.00137332
9,58.4573,0.5085,0.70173,0.81645,0.99882,1,0.995,0.995,0.16173,0.77287,0.08257,0.0013664,0.0013664,0.0013664
10,65.4836,0.55186,0.75144,0.88078,0.99884,1,0.995,0.995,0.13403,0.68298,0.07349,0.0012872,0.0012872,0.0012872
11,72.455,0.49925,0.72796,0.84161,0.99884,1,0.995,0.995,0.13403,0.68298,0.07349,0.001208,0.001208,0.001208
12,79.6151,0.41897,0.67927,0.81736,0.99868,1,0.995,0.995,0.16068,0.5571,0.10291,0.0011288,0.0011288,0.0011288
13,87.0717,0.39364,0.63833,0.84812,0.998,1,0.995,0.995,0.19957,0.80424,0.14479,0.0010496,0.0010496,0.0010496
14,94.8726,0.37334,0.6261,0.79538,0.99839,1,0.995,0.995,0.20129,0.75267,0.15577,0.0009704,0.0009704,0.0009704
15,102.58,0.39292,0.65032,0.82792,0.99839,1,0.995,0.995,0.20129,0.75267,0.15577,0.0008912,0.0008912,0.0008912
16,110.302,0.31992,0.67329,0.7892,0.99857,1,0.995,0.995,0.19262,0.58915,0.12913,0.000812,0.000812,0.000812
17,118.224,0.29129,0.68721,0.75682,0.99872,1,0.995,0.995,0.17367,0.54566,0.10772,0.0007328,0.0007328,0.0007328
18,126.451,0.31068,0.63153,0.76493,0.9988,1,0.995,0.995,0.13716,0.51238,0.09026,0.0006536,0.0006536,0.0006536
19,134.597,0.27257,0.61884,0.77428,0.9988,1,0.995,0.995,0.13716,0.51238,0.09026,0.0005744,0.0005744,0.0005744
20,143.028,0.23978,0.58542,0.77366,0.99881,1,0.995,0.995,0.09662,0.47797,0.07889,0.0004952,0.0004952,0.0004952
21,151.481,0.26468,0.59489,0.78278,0.99884,1,0.995,0.995,0.10766,0.44236,0.07361,0.000416,0.000416,0.000416
22,160.006,0.22002,0.5523,0.78785,0.99888,1,0.995,0.995,0.11513,0.46123,0.07158,0.0003368,0.0003368,0.0003368
23,168.522,0.2305,0.54309,0.8022,0.99888,1,0.995,0.995,0.11513,0.46123,0.07158,0.0002576,0.0002576,0.0002576
24,177.225,0.23995,0.5394,0.74407,0.99889,1,0.995,0.995,0.11681,0.47145,0.07341,0.0001784,0.0001784,0.0001784
25,185.731,0.21523,0.52871,0.7649,0.99889,1,0.995,0.995,0.11631,0.45644,0.07488,9.92e-05,9.92e-05,9.92e-05
